Delivery_Surcharge_Amount,Actual_Delivery_Time_Minutes,Delivery_Distance_km,Outlet_Location_Type,Item_Weight_kg,Weather_Condition,Day_of_Week,Time_of_Day_Peak,Realtime_Courier_Availability,Local_Order_Volume
81.05,71.3,2.24,Tier 3,4.9,Clear,Wednesday,Morning Peak,4,183
35.49,73.7,10.31,Tier 1,4.44,Clear,Tuesday,Off-Peak,49,406
87.09,24.9,10.67,Tier 1,10.89,Clear,Thursday,Afternoon,57,285
124.42,74.8,1.23,Tier 2,1.4,Rain,Friday,Dinner Peak,56,39
60.87,83.5,9.63,Tier 1,11.26,Clear,Friday,Morning Peak,16,6
51.03,43.1,2.22,Tier 2,8.11,Fog,Wednesday,Morning Peak,15,208
50.55,47.3,8.51,Tier 2,6.51,Rain,Thursday,Dinner Peak,49,470
57.63,71.8,6.69,Tier 1,9.71,Clear,Tuesday,Morning Peak,1,493
27.15,23.0,5.17,Tier 1,1.88,Fog,Friday,Afternoon,39,15
69.12,24.3,7.95,Tier 1,11.14,Clear,Sunday,Afternoon,59,288
88.15,20.8,16.32,Tier 1,4.67,Clear,Wednesday,Dinner Peak,23,370
92.68,38.5,10.67,Tier 2,11.09,Clear,Thursday,Morning Peak,6,396
84.72,75.9,13.22,Tier 3,5.14,Fog,Thursday,Off-Peak,1,347
45.74,38.9,10.61,Tier 2,12.65,Rain,Tuesday,Morning Peak,18,83
43.97,31.0,2.33,Tier 3,1.4,Clear,Tuesday,Dinner Peak,13,475
19.73,78.8,18.81,Tier 1,3.64,Rain,Thursday,Dinner Peak,50,135
57.29,91.8,17.77,Tier 2,8.82,Rain,Saturday,Afternoon,46,169
53.64,37.2,3.51,Tier 1,0.96,Rain,Wednesday,Dinner Peak,40,422
63.61,60.0,17.69,Tier 2,13.74,Heavy Snow,Sunday,Off-Peak,11,252
113.92,71.4,19.45,Tier 3,15.69,Clear,Thursday,Morning Peak,39,215
69.57,33.8,5.74,Tier 3,6.99,Clear,Monday,Afternoon,38,47
43.75,60.4,12.94,Tier 2,10.67,Fog,Tuesday,Dinner Peak,15,49
97.41,90.2,4.52,Tier 1,1.13,Clear,Sunday,Dinner Peak,42,481
72.33,33.4,5.7,Tier 3,2.12,,Wednesday,Morning Peak,37,319
69.42,59.8,0.58,Tier 1,9.85,Clear,Wednesday,Dinner Peak,42,271
25.55,85.1,16.39,Tier 2,11.96,Clear,Saturday,Dinner Peak,9,88
77.37,55.8,12.33,Tier 2,4.59,Fog,Thursday,Morning Peak,24,433
44.9,83.3,10.53,Tier 1,8.26,Clear,Wednesday,Morning Peak,38,454
58.91,73.1,12.92,Tier 1,1.66,Fog,Wednesday,Afternoon,11,478
106.63,45.5,12.3,Tier 1,9.69,Clear,Tuesday,Afternoon,16,59
85.78,29.7,16.01,Tier 3,4.19,Clear,Wednesday,Off-Peak,44,454
